City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address,,
PEREN,13110505601,2015-16,GPS MPAI,PEREN,DUMMY,MPAI,Nagaland,797101,,,,,,,,,,,
PEREN,13110503501,2015-16,GPS KIYEVI,PEREN,DUMMY,KIYEVI,Nagaland,797110,,,,,,,,,,,
PEREN,13110504901,2015-16,GPS POILWA OLD,PEREN,DUMMY,POILWA,Nagaland,797101,,,,,,,,,,,
PEREN,13110505002,2015-16,GPS NEW POILWA,PEREN,DUMMY,NEW POILWA,Nagaland,797110,,,,,,,,,,,
DIMAPUR,13060404201,2015-16,GPS HOZUKHE,NUILAND,NIHOKHU,HOZUKHE,Nagaland,797112,,,,,,,,,,,
DIMAPUR,13060301402,2015-16,SACRED HEART(PVT),MEDZIPHEMA,CHUMUKEDIMA TOWN,5TH MILE MODEL VILL,Nagaland,797112,,,,ChIJTUz8UmniRTcRgT3yhZ2zVzQ,C,City,dimapur,"Sacred Heart School , Toulazouma Village","Dimapur Peren Rd, New Chumukedima, Nagaland 797106, India",,
TUENSANG,13020500402,2015-16,GHSS NOKLAK ,NOKLAK,DUMMY,NOKLAK TOWN,Nagaland,798626,,,,,,,,,,,
TUENSANG,13020503402,2015-16,GPS THONOKNYU 'A',NOKLAK,DUMMY,THONOKNYU VILLAGE,Nagaland,798626,,,,,,,,,,,
KIPHIRE,13100900503,2015-16,ST. JOHN SCHOOL KIUSAM,PUNGRO,DUMMY,KIUSAM TOWN,Nagaland,798611,,,,,,,,,,,
KIPHIRE,13100903701,2015-16,GPS VONGTSUVONG,PUNGRO,DUMMY,VONGTSUVONG,Nagaland,798611,,,,,,,,,,,
KIPHIRE,13100901501,2015-16,GPS KHONGKA,PUNGRO,DUMMY,KHONGKA,Nagaland,798611,,,,,,,,,,,
KIPHIRE,13100901301,2015-16,GMS KHONGJIRI,PUNGRO,DUMMY,KHONGJIRI,Nagaland,798611,,,,,,,,,,,
KIPHIRE,13100900304,2015-16,GHS PHUVIKIU VILLAGE,PUNGRO,DUMMY,PHUVKIU VILLAGE,Nagaland,798611,,,,,,,,,,,
TUENSANG,13020401102,2015-16,GPS MANGKO EAC HQ.,SHAMATOR,MANGKO,MANGKO,Nagaland,198612,,,,ChIJxbP2756RRzcRO08nYIwjpr0,B,Locality,shamator,Mangko EAC Hq,"Shamator Hq, Nagaland, India",,
TUENSANG,13020400101,2015-16,GPS SANGPHUR (A),SHAMATOR,DUMMY,SANGPHUR,Nagaland,798612,,,,,,,,,,,
TUENSANG,13020400102,2015-16,GPS/GMS SANGPHUR (B),SHAMATOR,DUMMY,SANGPHUR,Nagaland,798612,,,,,,,,,,,
MOKOKCHUNG,13030300401,2015-16,GPS MOPUNGCHUKET 'A',KOBULONG,DUMMY,MOPUNGCHUKET VILLAGE,Nagaland,798615,,,,,,,,,,,
PHEK,13080100605,2015-16,NEW LIFE SCHOOL,PHEK,DUMMY,PHEK VILLAGE,Nagaland,797108,,,,,,,,,,,
PHEK,13080100701,2015-16,GHS MIDDLE KHO,PHEK,DUMMY,MIDDLE KHO,Nagaland,797108,,,,,,,,,,,
